"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","xera","fb_velocity","fb_spin","curve_spin"
"Staumont, Josh","622251","2024",,,,,,,,,61,,,,,,,,63,49,
"Rodríguez, Yariel","684320","2024",53,63,68,67,34,54,76,76,45,64,51,16,51,35,,53,45,75,82
"Suárez, Ranger","624133","2024",64,32,68,86,55,36,88,89,8,83,52,73,20,68,,64,11,2,10
"Armstrong, Shawn","542888","2024",7,6,12,25,8,45,24,47,27,54,45,41,28,59,,7,40,44,
"Allen, Logan","663531","2024",,,,,,,,,77,,,,,,,,9,2,
"Anderson, Shaun","641312","2024",,,,,,,,,69,,,,,,,,12,93,
"Adam, Jason","592094","2024",84,89,79,65,77,77,75,58,2,58,87,47,99,89,,84,73,100,
"Wells, Tyler","669330","2024",,,,,,,,,41,,,,,,,,26,81,
"Chavez, Jesse","445926","2024",36,17,34,52,40,72,76,86,2,76,32,63,2,2,,36,9,5,54
"Cosgrove, Tom","676680","2024",,,,,,,,,77,,,,,,,,6,73,
"Fried, Max","608331","2024",57,35,73,88,44,34,89,95,15,81,52,50,39,52,,57,45,29,87
"Festa, Matt","670036","2024",,,,,,,,,51,,,,,,,,18,91,
"Rodríguez, Manuel","655889","2024",,,,,,,,,39,,,,,,,,88,46,
"Bloss, Jake","814005","2024",,,,,,,,,27,,,,,,,,36,89,
"Gillaspie, Logan","670810","2024",,,,,,,,,29,,,,,,,,63,46,
"Leahy, Kyle","681517","2024",,,,,,,,,39,,,,,,,,73,56,
"Hendricks, Kyle","543294","2024",16,8,24,52,19,21,56,97,22,87,4,56,5,59,,16,1,7,94
"Leone, Dominic","608678","2024",,,,,,,,,25,,,,,,,,61,54,
"Ross, Joe","605452","2024",50,47,53,55,48,45,43,53,15,49,30,34,63,36,,50,62,27,
"Webb, Jacob","657097","2024",74,86,78,66,62,72,46,84,9,82,62,12,65,53,,74,40,93,
"Quintana, Jose","500779","2024",25,25,36,51,21,19,70,74,17,53,18,38,22,44,,25,9,11,13
"Herget, Jimmy","623474","2024",,,,,,,,,37,,,,,,,,15,67,93
"Vodnik, Victor","680767","2024",13,25,27,30,8,47,47,1,9,1,28,10,19,3,,13,97,58,
"Bigge, Hunter","685801","2024",,,,,,,,,85,,,,,,,,94,80,
"Cueto, Johnny","456501","2024",,,,,,,,,27,,,,,,,,11,10,
